County of Sacramento
""
Retail Food Facility
FA0006092
""
report_id,facility_name,permit_holder,address,city,zip_code,violation
FA0006092,,SILVER FOX INC,,,95824 ^,"# 4 EATING, DRINKING. OR TOBACCO USE
"
FA0006092,,SILVER FOX INC,,,95824 ^,"#7 HOT AND COLD HOLDING TEMPERATURES
"
FA0006092,,SILVER FOX INC,,,95824 ^,"# 27 FOOD PROTECTED FROM CONTAMINATION
"
FA0006092,,SILVER FOX INC,,,95824 ^,"# 29 IDENTIFICATION AND STORAGE OF TOXIC SUBSTANCES
"
FA0006092,,SILVER FOX INC,,,95824 ^,"# 33 NONFOOD-CONTACT SURFACES CLEAN
"
FA0006092,,SILVER FOX INC,,,95824 ^,"# 36 EQUIPMENT STORED IN APPROVED LOCATION
"
FA0006092,,SILVER FOX INC,,,95824 ^,"# 38 VENTILATION AND LIGHTING
"
FA0006092,,SILVER FOX INC,,,95824 ^,"# 40 WIPING CLOTHS STORAGE AND USE
"
FA0006092,,SILVER FOX INC,,,95824 ^,"# 42 GARBAGE AND REFUSE DISPOSAL
"
FA0006092,,SILVER FOX INC,,,95824 ^,"# 44(1 EMPLOYEE PERSONAL ITEMS
"
