business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,,,Report ID,Result,Last Inspection Date,Inspection Type,Coordinates,Data Last Updated
FA0001052,CLASSIQUE CATERING [2nd Floor Prep],1100 14TH ST ,SACRAMENTO,CA,95814,38.5784079,-121.4875057,(916) 446-1215,,,{D3AE76DF-E21C-4230-A2E4-565AEADD51F8},GN,8/12/2015 0:00,ROUTINE INSPECTION,"  38.5784079047, -121.4875056684",02/11/2016  4:00PM
FA0001052,CLASSIQUE CATERING [3rd Floor Pantry],1100 14TH ST ,SACRAMENTO,CA,95814,38.5785279,-121.4880057,(916) 446-1215,,,{E30953E6-66D6-48F4-8BF2-3D4C6EA22FB0},GN,8/12/2015 0:00,ROUTINE INSPECTION,"  38.5785279047, -121.4880056684",02/11/2016  4:00PM
FA0003166,MI TIERRA CARNICERIA Y SUPERMERCADO [Satellite Food Distribution],8484 FLORIN RD 70,SACRAMENTO,CA,95828,38.49614256,-121.3919592,(916) 383-9621,,,{F5E79E3E-EF2F-4453-BD2B-4B8E47A86495},GN,3/5/2015 0:00,ROUTINE INSPECTION,"  38.4961425607, -121.3919591817",02/11/2016  4:00PM
FA0018550,MULVANEY'S AT THE B & L [1209 - 19TH ST],1215 19TH ST 100,SACRAMENTO,CA,95811,38.5745983,-121.4818975,(916) 441-1771,,,{FBEA8998-EB6D-4D08-A2A7-DD643507AF7E},GN,9/4/2014 0:00,ROUTINE INSPECTION,"  38.5745983007, -121.4818975126",02/11/2016  4:00PM
FA0030695,HYATT REGENCY SACRAMENTO [2ND FLOOR PREP],1209 L ST ,SACRAMENTO,CA,95814,38.5773494,-121.4915045,(916) 443-1234,,,{A3E8EB02-E178-4716-A608-A1AD31E84100},GN,10/29/2015 0:00,ROUTINE INSPECTION,"  38.5773494000, -121.4915045000",02/11/2016  4:00PM
FA0030750,HILTON SACRAMENTO ARDEN WEST [COFFEE BAR/LOBBY],2200 HARVARD ST ,SACRAMENTO,CA,95815,38.60728163,-121.4332017,(916) 922-4700,,,{625A3558-13E7-4163-AF00-AF038763A8F1},GN,1/28/2015 0:00,ROUTINE INSPECTION,"  38.6072816263, -121.4332017286",02/11/2016  4:00PM
FA0041869,COSUMNES OAKS HIGH SCHOOL [CONCESSION STAND-FB],8350 LOTZ PKWY,ELK GROVE,CA,95757,38.39874401,-121.3970141,(916) 683-7670,,,{154F28C7-0438-4C3C-8412-F4C544DC1F9F},GN,5/13/2015 0:00,ROUTINE INSPECTION,"  38.3987440144, -121.3970141163",02/11/2016  4:00PM
FA0041869,COSUMNES OAKS HIGH SCHOOL [CONCESSION STAND-BB],8350 LOTZ PKWY,ELK GROVE,CA,95757,38.39886401,-121.3975141,(916) 683-7670,,,{19E6315C-5429-4AB9-AB8A-00690295A744},GN,5/13/2015 0:00,ROUTINE INSPECTION,"  38.3988640144, -121.3975141163",02/11/2016  4:00PM
FA0001126,MANSION & PAVILLION EVENTS AT VIZCAYA,2019 21ST ST,SACRAMENTO,CA,95818,38.56466497,-121.4830679,(916) 455-5243,,,{13C7C006-222E-4EBC-97C0-49A648311F9F},GN,1/20/2016 0:00,ROUTINE INSPECTION,"  38.5646649663, -121.4830679226",02/11/2016  4:00PM
FA0001132,AMBER HOUSE BED & BREAKFAST INN,1315 22ND ST ,SACRAMENTO,CA,95816,38.57209174,-121.478614,(916) 444-8085,,,{0AAA74C0-1F2C-4F03-BEE2-D85DF6413259},GN,10/15/2015 0:00,ROUTINE INSPECTION,"  38.5720917407, -121.4786139973",02/11/2016  4:00PM
