business_id,name,address,city,state,postal_code,latitude,longitude,phone_number
FA0044478,FULTON GREEN MARKET,1826 FULTON AVE,SACRAMENTO,CA,95825,,,+12032601552
FA0011082,STARBUCKS COFFEE #2891,4701 MADISON AVE ,SACRAMENTO,CA,95841,38.66140412,-121.3547733,+12063188705
FA0039996,MENCHIE'S FROZEN YOGURT,2405 IRON POINT RD 120,FOLSOM,CA,95630,,,+12066129452
FA0045617,BREWSTER'S BAR & GRILL [Restaurant & Bar],201 4TH ST,GALT,CA,95632,,,+12092517230
FA0047704,PRIME NUTRITION,905 C ST STE 170,GALT,CA,95632,,,+12092517752
FA0018935,KOALA BEAR GRILL & CHILL,1061 C ST 110,GALT,CA,95632,,,+12092517948
FA0042915,CITY OF GALT PARKS & RECREATIONS DEPT,600 CHABOLLA AVE,GALT,CA,95632,38.2511702,-121.2979667,+12093667180
FA0050372,CHEVRON,955 SIMMERHORN RD,GALT,CA,95632,,,+12093698255
FA0044427,ZESTY YOGURT,1067 C ST STE 139,GALT,CA,95632,,,+12094236971
FA0049629,MCDONALD'S #34891,12801 E STOCKTON BLVD,GALT,CA,95632,,,+12094780234
FA0003248,MZ LITTLE KITCHEN,8521 FOLSOM BLVD 3,SACRAMENTO,CA,95826,,,+12094823300
FA0006831,RESTAURANT EL BOTANERO,2184 WOODLAWN DR ,RANCHO CORDOVA,CA,95670,38.6148541,-121.287227,+12095565732
FA0007964,AROMA BAKERY,241 S LINCOLN WAY ,GALT,CA,95632,38.25387912,-121.3003907,+12095703833
FA0031247,FOLSOM FUEL,51 NATOMA ST ,FOLSOM,CA,95630,,,+12096092780
FA0014095,DOMINO'S PIZZA,421 BLUE RAVINE RD 100,FOLSOM,CA,95630,,,+12096492411
FA0042740,RITE AID #6547,10570 TWIN CITIES RD,GALT,CA,95632,,,+12097441380
FA0046724,VELVET GRILL GALT,400 4TH ST STE 100,GALT,CA,95632,,,+12097441413
FA0049843,DOLLAR TREE #5947,10540 TWIN CITIES RD,GALT,CA,95632,,,+12097441454
FA0043940,KFC/LONG JOHN SILVER'S #151,10350 TWIN CITIES RD,GALT,CA,95632,,,+12097441700
FA0048885,SUBWAY,10470 TWIN CITIES RD,GALT,CA,95632,,,+12097441855
FA0002073,DENNY'S RESTAURANT,1055 C ST ,GALT,CA,95632,,,+12097441905
FA0048976,WALMART SUPERCENTER #5231 [Deli/Bakery],10470 TWIN CITIES RD,GALT,CA,95632,,,+12097441947
FA0004749,FAMILY DOLLAR STORE #10695,104 N LINCOLN WAY ,GALT,CA,95632,,,+12097442000
FA0018047,ZACATECAS MEXICAN RESTUARANT,10400 TWIN CITIES RD 40,GALT,CA,95632,,,+12097442101
FA0044116,LIBERTY RANCH HIGH SCHOOL,12945 MARENGO RD,GALT,CA,95632,38.28641499,-121.2789246,+12097444250
FA0030763,COMFORT INN & SUITES GALT,10380 TWIN CITIES RD ,GALT,CA,95632,38.28923812,-121.3091565,+12097447800
