business_name,date,score,result,description,type
FA0019964,20160112,,PASS,,followup
FA0001465,20160205,,PASS,,followup
FA0018964,20160202,,PASS,,followup
FA0042317,20150807,,PASS,,followup
FA0045188,20151103,,PASS,,followup
FA0048268,20151023,,PASS,,followup
FA0001178,20151130,,PASS,,followup
FA0002409,20151130,,PASS,,followup
FA0002426,20150921,,PASS,,followup
FA0002430,20151202,,PASS,,followup
FA0003744,20151006,,PASS,,followup
FA0004709,20151208,,PASS,,followup
FA0006199,20150824,,PASS,,followup
FA0006445,20160119,,PASS,,followup
FA0005532,20160201,,PASS,,followup
FA0005867,20160122,,PASS,,followup
FA0001026,20151124,,PASS,,followup
FA0002326,20160120,,PASS,,followup
FA0003383,20160128,,PASS,,followup
FA0003524,20151125,,PASS,,followup
FA0003524,20151125,,PASS,,followup
FA0003673,20160127,,PASS,,followup
FA0005476,20160111,,PASS,,followup
FA0005501,20160205,,PASS,,followup
FA0005779,20160122,,PASS,,followup
FA0005876,20160108,,PASS,,followup
FA0006114,20151125,,PASS,,followup
FA0006877,20151124,,PASS,,followup
FA0013281,20160205,,PASS,,followup
FA0013971,20151215,,PASS,,followup
FA0014099,20151106,,PASS,,followup
FA0014119,20151105,,PASS,,followup
FA0014804,20151116,,PASS,,followup
FA0015252,20160122,,PASS,,followup
FA0015431,20151211,,PASS,,followup
FA0016559,20151209,,PASS,,followup
FA0017010,20151027,,PASS,,followup
FA0018392,20151222,,PASS,,followup
FA0019022,20160113,,PASS,,followup
FA0019937,20160121,,PASS,,followup
FA0019953,20160206,,PASS,,followup
FA0020118,20160104,,PASS,,followup
FA0028487,20160205,,PASS,,followup
FA0029719,20151204,,PASS,,followup
FA0030163,20151202,,PASS,,followup
FA0030567,20151204,,PASS,,followup
FA0030898,20160125,,PASS,,followup
FA0031891,20151117,,PASS,,followup
FA0031991,20151219,,PASS,,followup
FA0032072,20160126,,PASS,,followup
FA0032348,20160121,,PASS,,followup
FA0040690,20151117,,PASS,,followup
FA0040694,20160209,,PASS,,followup
FA0042148,20151229,,PASS,,followup
FA0042389,20151022,,PASS,,followup
FA0042886,20151230,,PASS,,followup
FA0044478,20160121,,PASS,,followup
FA0049794,20160130,,PASS,,followup
FA0001007,20160208,,PASS,,followup
FA0001012,20151224,,PASS,,followup
FA0001024,20151124,,PASS,,followup
FA0001034,20160112,,PASS,,followup
FA0001041,20151002,,PASS,,followup
FA0001043,20150916,,PASS,,followup
FA0001109,20160126,,PASS,,followup
FA0001116,20151216,,PASS,,followup
FA0001125,20151218,,PASS,,followup
FA0001128,20140617,,PASS,,followup
FA0001143,20160126,,PASS,,followup
FA0001230,20151211,,PASS,,followup
FA0001295,20160120,,PASS,,followup
FA0001336,20151203,,PASS,,followup
FA0001350,20151214,,PASS,,followup
FA0001377,20160209,,PASS,,followup
FA0001422,20151202,,PASS,,followup
FA0001476,20160128,,PASS,,followup
FA0001487,20151223,,PASS,,followup
FA0001490,20160119,,PASS,,followup
FA0001532,20151208,,PASS,,followup
FA0001538,20160106,,PASS,,followup
FA0001556,20160211,,PASS,,followup
FA0001620,20151203,,PASS,,followup
FA0001703,20160113,,PASS,,followup
FA0001890,20160210,,PASS,,followup
FA0001955,20151008,,PASS,,followup
FA0001977,20151023,,PASS,,followup
FA0001978,20151105,,PASS,,followup
FA0001983,20150912,,PASS,,followup
FA0001993,20151105,,PASS,,followup
FA0001994,20160106,,PASS,,followup
FA0002039,20160125,,PASS,,followup
FA0002099,20160108,,PASS,,followup
FA0002123,20151230,,PASS,,followup
FA0002221,20160108,,PASS,,followup
FA0002270,20160107,,PASS,,followup
FA0002508,20151112,,PASS,,followup
FA0002514,20151208,,PASS,,followup
FA0002528,20160119,,PASS,,followup
FA0002534,20151119,,PASS,,followup
FA0002535,20160121,,PASS,,followup
FA0002567,20151231,,PASS,,followup
FA0002581,20151104,,PASS,,followup
FA0002660,20150917,,PASS,,followup
FA0002738,20160202,,PASS,,followup
FA0002750,20151022,,PASS,,followup
FA0002754,20160122,,PASS,,followup
FA0002817,20160129,,PASS,,followup
FA0002839,20151216,,PASS,,followup
FA0002910,20151013,,PASS,,followup
FA0003039,20151208,,PASS,,followup
FA0003069,20160116,,PASS,,followup
FA0003074,20160119,,PASS,,followup
FA0003132,20151121,,PASS,,followup
FA0003160,20160114,,PASS,,followup
FA0003161,20160210,,PASS,,followup
FA0003203,20160121,,PASS,,followup
FA0003288,20160122,,PASS,,followup
FA0003296,20160105,,PASS,,followup
FA0003332,20160210,,PASS,,followup
FA0003338,20151229,,PASS,,followup
FA0003358,20151007,,PASS,,followup
FA0003386,20160106,,PASS,,followup
FA0003430,20151105,,PASS,,followup
FA0003431,20151102,,PASS,,followup
FA0003459,20160112,,PASS,,followup
FA0003510,20160125,,PASS,,followup
FA0003511,20151105,,PASS,,followup
FA0003512,20151102,,PASS,,followup
FA0003522,20160120,,PASS,,followup
FA0003532,20151119,,PASS,,followup
FA0003535,20151120,,PASS,,followup
FA0003582,20151110,,PASS,,followup
FA0003586,20150917,,PASS,,followup
FA0003614,20151217,,PASS,,followup
FA0003714,20151230,,PASS,,followup
FA0003724,20160205,,PASS,,followup
FA0003737,20160210,,PASS,,followup
FA0003758,20151205,,PASS,,followup
FA0003893,20151210,,PASS,,followup
FA0003898,20151231,,PASS,,followup
FA0003924,20151118,,PASS,,followup
FA0003934,20151019,,PASS,,followup
FA0003951,20151218,,PASS,,followup
FA0003960,20151223,,PASS,,followup
FA0003996,20160205,,PASS,,followup
FA0003997,20160121,,PASS,,followup
FA0004105,20160204,,PASS,,followup
FA0004193,20151109,,PASS,,followup
FA0004196,20160108,,PASS,,followup
FA0004230,20151218,,PASS,,followup
FA0004233,20151207,,PASS,,followup
FA0004324,20151007,,PASS,,followup
FA0004349,20160109,,PASS,,followup
FA0004475,20160119,,PASS,,followup
FA0004488,20160122,,PASS,,followup
FA0004498,20151102,,PASS,,followup
FA0004512,20151118,,PASS,,followup
FA0004551,20151222,,PASS,,followup
FA0004605,20160210,,PASS,,followup
FA0004635,20151231,,PASS,,followup
FA0004690,20160128,,PASS,,followup
FA0004696,20160104,,PASS,,followup
FA0004811,20151214,,PASS,,followup
FA0004812,20151112,,PASS,,followup
FA0004880,20160108,,PASS,,followup
FA0004902,20160210,,PASS,,followup
FA0004907,20160201,,PASS,,followup
FA0004934,20160205,,PASS,,followup
FA0005025,20160127,,PASS,,followup
FA0005033,20160127,,PASS,,followup
FA0005046,20151203,,PASS,,followup
FA0005084,20151124,,PASS,,followup
FA0005155,20151217,,PASS,,followup
FA0005159,20151210,,PASS,,followup
FA0005327,20160106,,PASS,,followup
FA0005338,20160129,,PASS,,followup
FA0005375,20160114,,PASS,,followup
FA0005401,20160208,,PASS,,followup
FA0005503,20151209,,PASS,,followup
FA0005503,20151210,,PASS,,followup
FA0005531,20160121,,PASS,,followup
FA0005544,20160205,,PASS,,followup
FA0005646,20160129,,PASS,,followup
FA0005709,20160202,,PASS,,followup
FA0005728,20151208,,PASS,,followup
FA0005864,20160105,,PASS,,followup
FA0005865,20160205,,PASS,,followup
FA0005898,20151028,,PASS,,followup
FA0006081,20151119,,PASS,,followup
FA0006173,20151022,,PASS,,followup
FA0006225,20160120,,PASS,,followup
FA0006231,20160204,,PASS,,followup
FA0006251,20160129,,PASS,,followup
FA0006264,20160126,,PASS,,followup
FA0006279,20160115,,PASS,,followup
FA0006282,20160122,,PASS,,followup
FA0006292,20151218,,PASS,,followup
FA0006318,20151210,,PASS,,followup
FA0006336,20151215,,PASS,,followup
FA0006489,20151218,,PASS,,followup
FA0006502,20160121,,PASS,,followup
FA0006638,20151209,,PASS,,followup
FA0006659,20151119,,PASS,,followup
FA0006671,20160127,,PASS,,followup
FA0006711,20151002,,PASS,,followup
FA0006732,20160111,,PASS,,followup
FA0006746,20151015,,PASS,,followup
FA0006852,20160206,,PASS,,followup
FA0006865,20160129,,PASS,,followup
FA0006930,20160210,,PASS,,followup
FA0007719,20151107,,PASS,,followup
FA0007812,20160210,,PASS,,followup
FA0007822,20150905,,PASS,,followup
FA0007831,20160209,,PASS,,followup
FA0008620,20160205,,PASS,,followup
FA0012266,20151130,,PASS,,followup
FA0012724,20160205,,PASS,,followup
FA0013152,20151023,,PASS,,followup
FA0013320,20160204,,PASS,,followup
FA0013962,20151029,,PASS,,followup
FA0013985,20151120,,PASS,,followup
FA0013985,20151120,,PASS,,followup
FA0013990,20151029,,PASS,,followup
FA0013992,20151117,,PASS,,followup
FA0014037,20151210,,PASS,,followup
FA0014176,20160122,,PASS,,followup
FA0014183,20151212,,PASS,,followup
FA0014223,20151117,,PASS,,followup
FA0014352,20151028,,PASS,,followup
FA0014468,20151009,,PASS,,followup
FA0014722,20160203,,PASS,,followup
FA0014755,20160115,,PASS,,followup
FA0014814,20160113,,PASS,,followup
FA0015044,20151214,,PASS,,followup
FA0015053,20160128,,PASS,,followup
FA0015572,20160107,,PASS,,followup
FA0015651,20151014,,PASS,,followup
FA0016061,20151218,,PASS,,followup
FA0016596,20160126,,PASS,,followup
FA0016712,20151017,,PASS,,followup
FA0016791,20151219,,PASS,,followup
FA0016797,20151104,,PASS,,followup
FA0016807,20160201,,PASS,,followup
FA0016829,20151208,,PASS,,followup
FA0017026,20160126,,PASS,,followup
FA0017221,20160107,,PASS,,followup
FA0017569,20160203,,PASS,,followup
FA0017594,20151022,,PASS,,followup
FA0017785,20151030,,PASS,,followup
FA0017957,20160108,,PASS,,followup
FA0018107,20160128,,PASS,,followup
FA0018162,20151210,,PASS,,followup
FA0018195,20151202,,PASS,,followup
FA0018242,20150929,,PASS,,followup
FA0018373,20160203,,PASS,,followup
FA0018586,20160204,,PASS,,followup
FA0019007,20160116,,PASS,,followup
FA0019084,20160127,,PASS,,followup
FA0019094,20151106,,PASS,,followup
FA0019208,20151014,,PASS,,followup
FA0019218,20151125,,PASS,,followup
FA0019237,20151201,,PASS,,followup
FA0019268,20151105,,PASS,,followup
FA0019316,20160203,,PASS,,followup
FA0019482,20151119,,PASS,,followup
FA0019507,20151028,,PASS,,followup
FA0019914,20151021,,PASS,,followup
FA0020096,20160202,,PASS,,followup
FA0028458,20151016,,PASS,,followup
FA0028482,20160123,,PASS,,followup
FA0028483,20151106,,PASS,,followup
FA0028669,20160125,,PASS,,followup
FA0028825,20160111,,PASS,,followup
FA0029012,20160106,,PASS,,followup
FA0029664,20160105,,PASS,,followup
FA0030585,20151009,,PASS,,followup
FA0030812,20160127,,PASS,,followup
FA0030846,20151211,,PASS,,followup
FA0031045,20160104,,PASS,,followup
FA0032127,20151125,,PASS,,followup
FA0032520,20160109,,PASS,,followup
FA0032581,20151118,,PASS,,followup
FA0040019,20160106,,PASS,,followup
FA0040507,20151110,,PASS,,followup
FA0040527,20151109,,PASS,,followup
FA0040908,20151207,,PASS,,followup
FA0041035,20151204,,PASS,,followup
FA0041481,20151230,,PASS,,followup
FA0041750,20151106,,PASS,,followup
FA0041925,20151009,,PASS,,followup
FA0042038,20151102,,PASS,,followup
FA0042084,20160107,,PASS,,followup
FA0043545,20151002,,PASS,,followup
FA0043555,20160108,,PASS,,followup
FA0043556,20150918,,PASS,,followup
FA0043647,20151030,,PASS,,followup
FA0044145,20151214,,PASS,,followup
FA0044638,20151016,,PASS,,followup
FA0044670,20151218,,PASS,,followup
FA0044781,20151209,,PASS,,followup
FA0044943,20151001,,PASS,,followup
FA0045667,20160107,,PASS,,followup
FA0046124,20160123,,PASS,,followup
FA0046429,20151128,,PASS,,followup
FA0046741,20151229,,PASS,,followup
FA0048166,20151024,,PASS,,followup
FA0048249,20160203,,PASS,,followup
FA0049004,20160115,,PASS,,followup
FA0049792,20151211,,PASS,,followup
FA0049839,20151106,,PASS,,followup
FA0049839,20151106,,PASS,,followup
FA0049854,20151223,,PASS,,followup
FA0050154,20160206,,PASS,,followup
FA0050284,20160202,,PASS,,followup
FA0E05998,20160121,,PASS,,followup
FA0001023,20151208,,PASS,,followup
FA0001046,20151008,,PASS,,followup
FA0001081,20151023,,PASS,,followup
FA0001119,20151204,,PASS,,followup
FA0001196,20160205,,PASS,,followup
FA0001200,20160206,,PASS,,followup
FA0001465,20160205,,PASS,,followup
FA0001519,20160109,,PASS,,followup
FA0001524,20151223,,PASS,,followup
FA0001969,20160205,,PASS,,followup
FA0002186,20160203,,PASS,,followup
FA0002352,20160203,,PASS,,followup
FA0002353,20151209,,PASS,,followup
FA0002873,20160129,,PASS,,followup
FA0003367,20160122,,PASS,,followup
FA0003472,20160202,,PASS,,followup
FA0003555,20160128,,PASS,,followup
FA0003555,20160128,,PASS,,followup
FA0003556,20151230,,PASS,,followup
FA0003573,20151005,,PASS,,followup
FA0003749,20151204,,PASS,,followup
FA0003750,20150904,,PASS,,followup
FA0004142,20151106,,PASS,,followup
FA0004239,20160112,,PASS,,followup
FA0004308,20151008,,PASS,,followup
FA0004314,20151219,,PASS,,followup
FA0004354,20151120,,PASS,,followup
FA0004364,20151229,,PASS,,followup
FA0004482,20151204,,PASS,,followup
FA0004583,20151219,,PASS,,followup
FA0004727,20151130,,PASS,,followup
FA0004875,20160122,,PASS,,followup
FA0004915,20151113,,PASS,,followup
FA0005260,20160115,,PASS,,followup
FA0005326,20151031,,PASS,,followup
FA0006283,20151218,,PASS,,followup
FA0006322,20160130,,PASS,,followup
FA0006372,20160210,,PASS,,followup
FA0006402,20151106,,PASS,,followup
FA0006405,20151118,,PASS,,followup
FA0012751,20151120,,PASS,,followup
FA0012895,20151008,,PASS,,followup
FA0013980,20160126,,PASS,,followup
FA0014952,20151028,,PASS,,followup
FA0015205,20151107,,PASS,,followup
FA0015337,20160128,,PASS,,followup
FA0016907,20160204,,PASS,,followup
FA0017238,20160204,,PASS,,followup
FA0017238,20160204,,PASS,,followup
FA0019101,20151021,,PASS,,followup
FA0030564,20151113,,PASS,,followup
FA0031005,20150916,,PASS,,followup
FA0032210,20151112,,PASS,,followup
FA0043811,20151002,,PASS,,followup
FA0043908,20151218,,PASS,,followup
FA0045032,20160210,,PASS,,followup
FA0048122,20160204,,PASS,,followup
FA0048519,20151029,,PASS,,followup
FA0048755,20160109,,PASS,,followup
FA0049270,20151119,,PASS,,followup
FA0049814,20151022,,PASS,,followup
FA0050505,20160108,,PASS,,followup
FA0001704,20150902,,PASS,,followup
FA0045059,20160201,,PASS,,followup
FA0002505,20151209,,PASS,,followup
FA0002853,20151119,,PASS,,followup
FA0003673,20160127,,PASS,,followup
FA0005503,20150828,,PASS,,followup
FA0006103,20150925,,PASS,,followup
FA0006113,20151209,,PASS,,followup
FA0006864,20160108,,PASS,,followup
FA0013910,20151008,,PASS,,followup
FA0005162,20160202,,PASS,,followup
FA0031003,20151212,,PASS,,followup
FA0001057,20150824,,PASS,,followup
FA0001086,20151211,,PASS,,followup
FA0001959,20151218,,PASS,,followup
FA0002800,20151017,,PASS,,followup
FA0003035,20151119,,PASS,,followup
FA0004110,20150821,,PASS,,followup
FA0005136,20151030,,PASS,,followup
FA0005451,20160202,,PASS,,followup
FA0005978,20150817,,PASS,,followup
FA0006142,20151022,,PASS,,followup
FA0008546,20151223,,PASS,,followup
FA0014126,20151120,,PASS,,followup
FA0015272,20150819,,PASS,,followup
FA0016730,20151030,,PASS,,followup
FA0017982,20151124,,PASS,,followup
FA0018025,20151210,,PASS,,followup
FA0032085,20151020,,PASS,,followup
FA0032527,20150423,,PASS,,followup
FA0040805,20151007,,PASS,,followup
FA0044770,20160203,,PASS,,followup
FA0045172,20151202,,PASS,,followup
FA0047982,20160204,,PASS,,followup
FA0047982,20160204,,PASS,,followup
FA0048172,20150929,,PASS,,followup
FA0001052,20150812,,PASS,,routine
FA0001052,20150812,,PASS,,routine
FA0003166,20150305,,PASS,,routine
FA0018550,20140904,,PASS,,routine
FA0030695,20151029,,PASS,,routine
FA0030750,20150128,,PASS,,routine
FA0041869,20150513,,PASS,,routine
FA0041869,20150513,,PASS,,routine
FA0001126,20160120,,PASS,,routine
FA0001132,20151015,,PASS,,routine
FA0001326,20151221,,PASS,,routine
FA0004058,20160201,,PASS,,routine
FA0001699,20160104,,PASS,,routine
FA0001723,20151104,,PASS,,routine
FA0002817,20150424,,PASS,,routine
FA0002820,20151007,,PASS,,routine
FA0003234,20151020,,PASS,,routine
FA0004363,20151020,,PASS,,routine
FA0004522,20151026,,PASS,,routine
FA0004753,20151116,,PASS,,routine
FA0005599,20160113,,PASS,,routine
FA0005687,20151103,,PASS,,routine
FA0007324,20151009,,PASS,,routine
FA0007984,20160205,,PASS,,routine
FA0012927,20151110,,PASS,,routine
FA0017941,20151230,,PASS,,routine
FA0019532,20151103,,PASS,,routine
FA0019653,20151023,,PASS,,routine
FA0030341,20160202,,PASS,,routine
FA0041765,20150930,,PASS,,routine
FA0043938,20151016,,PASS,,routine
FA0050379,20151112,,PASS,,routine
FA0002530,20151016,,PASS,,routine
FA0002645,20160208,,PASS,,routine
FA0002700,20160107,,PASS,,routine
FA0002858,20151118,,PASS,,routine
FA0003058,20150811,,PASS,,routine
FA0003622,20151211,,PASS,,routine
FA0003924,20151009,,PASS,,routine
FA0003994,20160115,,PASS,,routine
FA0004650,20151228,,PASS,,routine
FA0004986,20160210,,PASS,,routine
FA0005730,20151119,,PASS,,routine
FA0005856,20160204,,PASS,,routine
FA0006298,20151013,,PASS,,routine
FA0006376,20151203,,PASS,,routine
FA0006753,20151030,,PASS,,routine
FA0007831,20150930,,PASS,,routine
FA0013793,20151026,,PASS,,routine
FA0013929,20151014,,PASS,,routine
FA0014667,20150923,,PASS,,routine
FA0015249,20151117,,PASS,,routine
FA0018374,20151007,,PASS,,routine
FA0029726,20151002,,PASS,,routine
FA0032366,20151014,,PASS,,routine
FA0044645,20150918,,PASS,,routine
FA0044801,20151005,,PASS,,routine
FA0046538,20160104,,PASS,,routine
FA0046758,20150904,,PASS,,routine
FA0046760,20150925,,PASS,,routine
FA0001415,20151116,,PASS,,routine
FA0001951,20160105,,PASS,,routine
FA0001953,20151118,,PASS,,routine
FA0002028,20151202,,PASS,,routine
FA0002174,20151030,,PASS,,routine
FA0002192,20151023,,PASS,,routine
FA0002293,20151019,,PASS,,routine
FA0002306,20151120,,PASS,,routine
FA0002312,20160125,,PASS,,routine
FA0002341,20150917,,PASS,,routine
FA0002397,20150929,,PASS,,routine
FA0002397,20150929,,PASS,,routine
FA0002397,20150929,,PASS,,routine
FA0003023,20151207,,PASS,,routine
FA0003875,20151102,,PASS,,routine
FA0003876,20151016,,PASS,,routine
FA0004083,20151207,,PASS,,routine
FA0004428,20151216,,PASS,,routine
FA0004429,20151112,,PASS,,routine
FA0004429,20151112,,PASS,,routine
FA0004429,20151112,,PASS,,routine
FA0004514,20160105,,PASS,,routine
FA0004515,20150917,,PASS,,routine
FA0004666,20151105,,PASS,,routine
FA0004718,20151026,,PASS,,routine
FA0004773,20151204,,PASS,,routine
FA0005225,20151005,,PASS,,routine
FA0005464,20151006,,PASS,,routine
FA0005481,20151020,,PASS,,routine
FA0005984,20160115,,PASS,,routine
FA0006019,20160112,,PASS,,routine
FA0006471,20151204,,PASS,,routine
FA0006534,20151130,,PASS,,routine
FA0006545,20151019,,PASS,,routine
FA0006570,20151118,,PASS,,routine
FA0006782,20150928,,PASS,,routine
FA0014022,20151207,,PASS,,routine
FA0014080,20151019,,PASS,,routine
FA0014193,20151109,,PASS,,routine
FA0014277,20151027,,PASS,,routine
FA0015559,20151210,,PASS,,routine
