business_id,date,description,code
FA0001119,20160219,Standard not met: Appropriate use of equipment,44b
FA0001206,20151117,Standard not met: Appropriate use of equipment,44b
FA0001260,20151210,Standard not met: Appropriate use of equipment,44b
FA0001289,20160301,Standard not met: Appropriate use of equipment,44b
FA0001344,20160201,Standard not met: Appropriate use of equipment,44b
FA0001349,20160226,Standard not met: Appropriate use of equipment,44b
FA0001798,20151201,Standard not met: Appropriate use of equipment,44b
FA0002371,20160211,Standard not met: Appropriate use of equipment,44b
FA0002543,20160119,Standard not met: Appropriate use of equipment,44b
FA0002568,20150918,Standard not met: Appropriate use of equipment,44b
FA0002650,20160105,Standard not met: Appropriate use of equipment,44b
FA0002860,20151230,Standard not met: Appropriate use of equipment,44b
FA0003289,20160106,Standard not met: Appropriate use of equipment,44b
FA0003507,20160302,Standard not met: Appropriate use of equipment,44b
FA0003525,20160112,Standard not met: Appropriate use of equipment,44b
FA0003788,20160113,Standard not met: Appropriate use of equipment,44b
FA0003862,20160201,Standard not met: Appropriate use of equipment,44b
FA0003988,20160119,Standard not met: Appropriate use of equipment,44b
FA0003988,20160119,Standard not met: Appropriate use of equipment,44b
FA0004049,20160105,Standard not met: Appropriate use of equipment,44b
FA0004333,20160226,Standard not met: Appropriate use of equipment,44b
FA0004366,20160216,Standard not met: Appropriate use of equipment,44b
FA0004368,20160211,Standard not met: Appropriate use of equipment,44b
FA0004371,20160302,Standard not met: Appropriate use of equipment,44b
FA0004478,20160223,Standard not met: Appropriate use of equipment,44b
FA0004490,20160114,Standard not met: Appropriate use of equipment,44b
FA0004568,20160113,Standard not met: Appropriate use of equipment,44b
FA0004834,20151028,Standard not met: Appropriate use of equipment,44b
FA0005034,20160126,Standard not met: Appropriate use of equipment,44b
FA0005264,20151210,Standard not met: Appropriate use of equipment,44b
FA0005369,20160114,Standard not met: Appropriate use of equipment,44b
FA0005644,20160225,Standard not met: Appropriate use of equipment,44b
FA0005781,20160201,Standard not met: Appropriate use of equipment,44b
FA0005865,20160205,Standard not met: Appropriate use of equipment,44b
FA0006169,20160302,Standard not met: Appropriate use of equipment,44b
FA0006588,20160201,Standard not met: Appropriate use of equipment,44b
FA0006602,20151228,Standard not met: Appropriate use of equipment,44b
FA0006931,20160216,Standard not met: Appropriate use of equipment,44b
FA0006943,20160205,Standard not met: Appropriate use of equipment,44b
FA0007095,20160107,Standard not met: Appropriate use of equipment,44b
FA0012479,20160223,Standard not met: Appropriate use of equipment,44b
FA0012813,20150923,Standard not met: Appropriate use of equipment,44b
FA0013745,20151202,Standard not met: Appropriate use of equipment,44b
FA0014063,20160217,Standard not met: Appropriate use of equipment,44b
FA0015035,20151116,Standard not met: Appropriate use of equipment,44b
FA0016616,20151218,Standard not met: Appropriate use of equipment,44b
FA0016655,20151209,Standard not met: Appropriate use of equipment,44b
FA0016993,20160205,Standard not met: Appropriate use of equipment,44b
FA0017341,20160205,Standard not met: Appropriate use of equipment,44b
FA0017352,20151030,Standard not met: Appropriate use of equipment,44b
FA0017511,20151028,Standard not met: Appropriate use of equipment,44b
FA0018415,20151221,Standard not met: Appropriate use of equipment,44b
FA0019094,20160302,Standard not met: Appropriate use of equipment,44b
FA0019268,20160218,Standard not met: Appropriate use of equipment,44b
FA0019964,20160112,Standard not met: Appropriate use of equipment,44b
FA0020121,20160121,Standard not met: Appropriate use of equipment,44b
FA0030487,20151113,Standard not met: Appropriate use of equipment,44b
FA0030843,20151123,Standard not met: Appropriate use of equipment,44b
FA0030846,20151211,Standard not met: Appropriate use of equipment,44b
FA0030847,20151119,Standard not met: Appropriate use of equipment,44b
FA0031165,20160126,Standard not met: Appropriate use of equipment,44b
FA0031323,20151218,Standard not met: Appropriate use of equipment,44b
FA0031932,20151204,Standard not met: Appropriate use of equipment,44b
FA0032497,20150930,Standard not met: Appropriate use of equipment,44b
FA0041434,20160121,Standard not met: Appropriate use of equipment,44b
FA0041776,20151103,Standard not met: Appropriate use of equipment,44b
FA0042156,20151215,Standard not met: Appropriate use of equipment,44b
FA0042328,20160127,Standard not met: Appropriate use of equipment,44b
FA0042576,20150512,Standard not met: Appropriate use of equipment,44b
FA0045173,20160217,Standard not met: Appropriate use of equipment,44b
FA0046170,20160127,Standard not met: Appropriate use of equipment,44b
FA0046706,20160203,Standard not met: Appropriate use of equipment,44b
FA0049554,20151120,Standard not met: Appropriate use of equipment,44b
FA0000946,20151110,Standard not met: Approved thawing methods,26
FA0001037,20160107,Standard not met: Approved thawing methods,26
FA0001073,20160218,Standard not met: Approved thawing methods,26
FA0001085,20160129,Standard not met: Approved thawing methods,26
FA0001148,20151103,Standard not met: Approved thawing methods,26
FA0001163,20160108,Standard not met: Approved thawing methods,26
FA0001163,20160108,Standard not met: Approved thawing methods,26
FA0001260,20151210,Standard not met: Approved thawing methods,26
FA0001289,20160301,Standard not met: Approved thawing methods,26
FA0001336,20151203,Standard not met: Approved thawing methods,26
FA0001373,20160125,Standard not met: Approved thawing methods,26
FA0001389,20160205,Standard not met: Approved thawing methods,26
FA0001397,20160225,Standard not met: Approved thawing methods,26
FA0001570,20151216,Standard not met: Approved thawing methods,26
FA0001657,20151112,Standard not met: Approved thawing methods,26
FA0001716,20160201,Standard not met: Approved thawing methods,26
FA0001792,20151207,Standard not met: Approved thawing methods,26
FA0001842,20160119,Standard not met: Approved thawing methods,26
FA0001908,20160106,Standard not met: Approved thawing methods,26
FA0002068,20160122,Standard not met: Approved thawing methods,26
FA0002212,20151117,Standard not met: Approved thawing methods,26
FA0002269,20151201,Standard not met: Approved thawing methods,26
FA0002389,20151026,Standard not met: Approved thawing methods,26
FA0002598,20160301,Standard not met: Approved thawing methods,26
FA0002600,20151223,Standard not met: Approved thawing methods,26
FA0002648,20151208,Standard not met: Approved thawing methods,26
FA0002741,20151117,Standard not met: Approved thawing methods,26
FA0002742,20151221,Standard not met: Approved thawing methods,26
FA0002862,20160216,Standard not met: Approved thawing methods,26
FA0002862,20160216,Standard not met: Approved thawing methods,26
FA0002909,20160106,Standard not met: Approved thawing methods,26
FA0002939,20160225,Standard not met: Approved thawing methods,26
FA0002941,20160120,Standard not met: Approved thawing methods,26
FA0002943,20160203,Standard not met: Approved thawing methods,26
FA0003106,20160106,Standard not met: Approved thawing methods,26
FA0003131,20160126,Standard not met: Approved thawing methods,26
FA0003166,20150915,Standard not met: Approved thawing methods,26
FA0003265,20151210,Standard not met: Approved thawing methods,26
FA0003309,20160210,Standard not met: Approved thawing methods,26
FA0003447,20160108,Standard not met: Approved thawing methods,26
FA0003447,20160108,Standard not met: Approved thawing methods,26
FA0003447,20160108,Standard not met: Approved thawing methods,26
FA0003457,20151222,Standard not met: Approved thawing methods,26
FA0003573,20160219,Standard not met: Approved thawing methods,26
FA0003594,20160113,Standard not met: Approved thawing methods,26
FA0003600,20160218,Standard not met: Approved thawing methods,26
FA0003614,20151217,Standard not met: Approved thawing methods,26
FA0003615,20160226,Standard not met: Approved thawing methods,26
FA0003630,20151118,Standard not met: Approved thawing methods,26
FA0003710,20160302,Standard not met: Approved thawing methods,26
FA0003711,20151201,Standard not met: Approved thawing methods,26
FA0003853,20160211,Standard not met: Approved thawing methods,26
FA0003898,20151231,Standard not met: Approved thawing methods,26
FA0003922,20160120,Standard not met: Approved thawing methods,26
FA0004050,20160217,Standard not met: Approved thawing methods,26
FA0004238,20160111,Standard not met: Approved thawing methods,26
FA0004383,20151204,Standard not met: Approved thawing methods,26
FA0004478,20160223,Standard not met: Approved thawing methods,26
FA0004510,20151223,Standard not met: Approved thawing methods,26
FA0004596,20151113,Standard not met: Approved thawing methods,26
